My experiments with Truth,Mahatma M.K.Gandhi
Far from the Madding Crowd,Thomas Hardy
Geetanjali,Rabindra Nath Tagore
One Day in the Life of Ivan Denisovitch,Alexander Solzhenitsyn
The Merchant of venice,William shakespeare
The Moon and Six pense,Somerset Maughan
Pilgrim's Progress from this world to that which is to come,John Bunyan
A Tale of Two Cities,Charles Dickens
Utopia,Sir Thomas Moor
Origin of species,charles Darwin
David Copperfield,Charles Dickens
A passage to India,E.M.Forster
Gulliver's Travels,Jonathan Swift
Discovery of India,Pandit Jawaharlal Nehru
The Vicar of Wakefield,	Oliver Goldsmith
The Decline and Fall of the Roman Empire,Edward Gibbon
The Lady of the Last Minstrel,Sir Walter Scott
Pride and Prejudice,Jane Austen
Time Machine,H.G. Wells
Arthashastra,Kautilya
Le Contract Social,Jean Jacques Rousseau
Avigyan Sakuntalam,Kalidas
Anand Math,Bankimchandra Chattopadhyay
Mein Kampf,Adolf Hitler
Ain-i-Akbari,Abul Fazal
Akbar-Nama,Abul Fazal
Shakuntala,Kalidas
War and peace,Leo Tolstoy
A Dangerous place,D.P. Moynihan
Raghuvamsa,Kalidas
Adventures of Sherlock Holmes,Arthur Conan Doyle
Adventures of Tom Saweyer,Mark Twain
Agni Veena,Kazi Nasrul Islam
Alice in Wonderland,Lewis Carrol
Ancient Mariner,Coleridge
Animal Farm,George Orwell
Anna Karenina,Tolstoy
Antony and Cleopatra,Shakespeare
Arms and the Man,G.B.Shaw
Around the World in eighty days,Jules Verne
Baburnama,Babur
Ben Hur,Lewis Wallace
Bhagwat Gita,Ved Vyas
Bisarjan,R.N.Tagore
Canterbury Tales,Chaucer
Chitra,R.N.Tagore
Count of Monte Cristo,Alexander Dumas
Crime and Punishment,Dostoevsky
Das Kapital,Karl Marx
Divine Comedy,Dante
